priority,system,lua_file,lua_function_or_data,godot_target,task,notes
P0,RunConfig,scripts/systems/Tutorial.lua,Tutorial.GetMapConfig,data/run_configs/tutorial_5x5.tres or gd resource,Create tutorial run config with 5x5 seed 777 manual map and meta disabled,Convert Lua 1-based coordinates to Godot convention explicitly.
P0,RunConfig,scripts/main.lua,StartNewGame default config,data/run_configs/standard_10x10.tres or gd resource,Create standard 10x10 run config with 20 mines 10 monsters 10 chests 10 events 2 exits,Must preserve hidden random exit behavior.
P0,TruthMap,scripts/systems/Minefield.lua,Minefield:_GenerateManual scripts/systems/Tutorial.lua manualMap,scripts/core/map/truth_map.gd,Add setup_manual_map and tutorial fixed layout support,Do not expose room_type to UI until IntelMap reveals it.
P0,TruthMap,scripts/systems/Minefield.lua,Minefield:Generate _PlaceMines _AssignSpecialRooms,scripts/core/map/truth_map.gd and minefield_service.gd,Add standard 10x10 generator with mine/special/exit counts,Exact Lua RNG optional first pass; counts and invariants required.
P0,TruthMap,scripts/systems/Minefield.lua,Minefield:_ComputeAdjacency,scripts/core/map/minefield_service.gd,Ensure 8-neighbor adjacency counts real mines only,Monster/chest/event/exit are not mines.
P0,IntelMap,scripts/systems/Minefield.lua,Minefield:_PublicCell,scripts/core/intel/intel_map.gd,Implement public cell view hiding hidden room_type adjacent mines and random exits,This is central TruthMap/IntelMap parity.
P0,IntelMap,scripts/systems/Minefield.lua,Minefield:Reveal ToggleFlag GetVisibleMap,scripts/core/intel/intel_map.gd,Add reveal flag visible map states hidden flagged mine empty number,Flag must not mutate TruthMap.
P0,RunContext,scripts/systems/ExtractionRun.lua,ExtractionRun:Init GetState,scripts/core/run/run_context.gd,Add phase turn exit_id mode seed movement flags and config fields,Current S2 context is sandbox-only.
P0,CommandBus,scripts/main.lua StartTutorialRun and StartNormalRun,scripts/core/command/command_bus.gd,Add start_tutorial_run and start_standard_run,Do not overload start_demo_run for parity modes.
P0,CommandBus,scripts/systems/ExtractionRun.lua,ExtractionRun:Move,scripts/core/command/command_bus.gd,Port movement result semantics including invalid_direction out_of_bounds blocked_flagged hit_mine entered_triggered_mine at_exit,Move only cardinal one-cell steps.
P0,RoomResolver,scripts/main.lua MovePlayer,scripts/core/run/room_resolver.gd,Apply enter-room side effects first explore pressure mine damage enemy/event/search/exit messages,Keep UI updates through emitted snapshots.
P0,Protocol,scripts/systems/Protocol.lua Protocol.AddPressure GetStatus,new scripts/core/run/protocol_service.gd,Implement pressure 0..100 and levels 5 4 3 2 1 at 0 20 40 60 80,Current Lua penalty flag remains false.
P0,Combat,scripts/systems/Combat.lua,Combat.Reset ApplyDamage TakeMineHit,scripts/core/run/combat_state.gd or RunContext,Add hp max_hp power mine_immunity mine_dmg_reduce and mine damage rules,Base mine damage 30 min after reduction 5.
P0,RunInventory,scripts/systems/RunInventory.lua,RunInventory.Reset GetTotals GetRunStats,scripts/core/run/run_inventory.gd,Add pending_gold safe_gold parts carried_items searched_cells stats,Needed for HUD and result parity.
P0,Search,scripts/systems/RunInventory.lua,GetSearchState SearchCurrentRoom GetReward,scripts/core/run/room_resolver.gd and run_inventory.gd,Implement search eligibility and one-time normal/chest rewards,Normal 0..4 cap; chest 3..11 cap plus guaranteed item.
P0,Chest,scripts/main.lua SearchCurrentRoom and Minefield:ClearRoom,scripts/core/run/room_resolver.gd,Mark searched chest clear once after reward,Repeated search must not grant reward.
P0,Mine,scripts/systems/ExtractionRun.lua and Combat.lua,ExtractionRun:Move Combat.TakeMineHit,scripts/core/run/room_resolver.gd,First mine hit damages and adds pressure; re-entry no damage,Non-fatal in tutorial and standard.
P0,Extraction,scripts/systems/ExtractionRun.lua,CanExtract Extract,scripts/core/command/command_bus.gd and room_resolver.gd,Allow extraction only on exit_id cell and produce result snapshot,Separate request_extract confirm_extract cancel_extract for UI.
P0,Result,scripts/main.lua,DoExtract ConfirmExtract ShowFailurePanel,scripts/ui/result/result_panel.gd and ViewModel,Expand result snapshot for total gold stats risk failure salvage,Current S2 result is too minimal.
P0,MiniMap,scripts/ui/MiniMap.lua,MiniMap.Draw and ComputeLayout,scripts/ui/minimap/minimap_view_model.gd,Build minimap from IntelMap public cells with hidden/flag/mine/number/player/exit/special labels,Keep <=6 maps enlarged behavior conceptually.
P0,HUD,scripts/ui/HUD.lua,HUD.GetInteractHint DrawProtocolPanel RunInventory.GetHUDSummary,scripts/ui/hud/hud_view_model.gd,Add structured HP power pressure inventory room search enemy event exit hint fields,Do not let HUD read TruthMap.
P0,Tutorial,scripts/systems/Tutorial.lua,Tutorial.roomPopups OnEnterRoom ConfirmPopup,new tutorial_service.gd,Implement coordinate-triggered popup ids once/blocking/input-lock semantics,Exact text can be content follow-up.
P1,Events,scripts/systems/EventSystem.lua,GetEventType GetOptions ExecuteOptionById,new event_service.gd,Implement trader dice altar trap option model and completion,Deterministic event assignment from seed/coord recommended.
P1,Trader,scripts/systems/EventSystem.lua,_ExecTrader RunInventory.GetTradableItems,run_inventory.gd event_service.gd,Implement sale of concrete carried item to safe_gold at floor(value*0.75) min 1,Remove sold item from carried items.
P1,Dice,scripts/systems/EventSystem.lua,_ExecDice,event_service.gd,Implement bet 20 pending gold with roll outcomes -20 +20 +60,Roll deterministic from seed/coord/context.
P1,Altar,scripts/systems/EventSystem.lua,_ExecAltar,event_service.gd,Implement HP cost sequence 10 15 25 35 50 with pending gold/item rewards,May remain open until final step.
P1,Trap,scripts/systems/EventSystem.lua,_ExecTrap,event_service.gd,Implement power>=8 success +25 pending and two items else HP-1 pressure+5,Should mark completed once.
P1,Combat,scripts/systems/Combat.lua,TrySpawnEnemy FightEnemy GrantMonsterKillPower,combat_state.gd room_resolver.gd,Implement deterministic monster spawn/fight/reward/clear,Action combat can wait.
P1,MapOverlay,scripts/ui/MapOverlay.lua,ComputeLayout Draw HandleClick callbacks,scenes/ui/map_overlay.tscn and ViewModel,Implement expanded map with flag hidden and teleport explored safe cells,Use IntelMap/public cells only.
P1,TutorialUI,scripts/ui/HUD.lua,HUD.DrawTutorialPopup,Godot tutorial popup scene,Render blocking and non-blocking tutorial popups,Content text needs encoding/content review.
P1,Failure,scripts/main.lua ShowFailurePanel ApplyFailureSalvage RunInventory failure methods,result view and run_inventory.gd,Implement failure settlement safe gold retained pending lost and optional highest-value salvage,Tests indicate one highest-value item may be recovered.
P1,Consumables,scripts/systems/RunInventory.lua,UseConsumable and MetaProgress loadout hooks,run_inventory.gd command_bus.gd,Add emergency bandage and carried consumables,Can be after core parity.
P1,Validation,scripts/tests/minefield_selftest.lua,testNormalRunTunedSpecialCounts testTutorialMapDiagonalLayout tools/validate_lua_parity.ps1,Add read-only/static or Godot test parity checks for 5x5 and 10x10 invariants,No real assets required.
P2,MetaProgress,scripts/systems/MetaProgress.lua,GetEquipBonus GetTalentEffects RecordExtractionReward,new meta_progress.gd,Port warehouse shop equipment talents recovery history after run loop parity,Large scope; avoid blocking P0.
P2,DeployUI,scripts/main.lua deploy terminal functions,Godot menu/deploy scenes,Rebuild deploy terminal with Godot UI patterns,Do not port UrhoX hit rect glue directly.
P2,ActionCombat,scripts/systems/Combat.lua,PlayerAttackEnemy UpdateEnemy,room combat scene/controller,Port room-local action combat timing range cooldown invincibility,Only if desired after deterministic combat.
P2,Assets,scripts/ui/MiniMap.lua and UITheme.lua,UrhoX icon paths,ContentDB and asset_manifest.csv,Replace or license-confirm minimap/UI icons before importing real assets,Do not copy assets until asset migration phase.
P2,TextContent,scripts/systems/GameText.lua,Tutorial/event/HUD text data,Godot localization/resource text,Extract text into Godot resources with encoding review,Avoid blindly copying mojibake or UrhoX strings.
P2,Debug,scripts/main.lua,GMUnlockAllItems GMResetSave and debug handlers,Godot debug panel optional,Keep optional and separate from shipped gameplay,Not required for parity.
